	B.anthracis.Ames	B.cereus.ATCC14579	B.cereus.E33L	B.cereus.ATCC10987	B.thuringiensis	B.weihenstephanensis	B.subtilis168	B.amyloliquefaciens	B.licheniformis	B.pumilus	B.claussi	B.halodurans	
B.anthracis.Ames	NA	2.2e-16	2.2e-16	2.2e-16	4.942e-14	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16
B.cereus.ATCC14579	2.2e-16	NA	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16
B.cereus.E33L	2.2e-16	2.2e-16	NA	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16
B.cereus.ATCC10987	2.2e-16	2.2e-16	2.2e-16	NA	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16
B.thuringiensis	4.942e-14	2.2e-16	2.2e-16	2.2e-16	NA	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16
B.weihenstephanensis	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	NA	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16
B.subtilis168	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	NA	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16
B.amyloliquefaciens	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	NA	2.2e-16	2.2e-16	2.2e-16	2.2e-16
B.licheniformis	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	NA	2.2e-16	2.2e-16	2.2e-16
B.pumilus	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	NA	2.2e-16	2.2e-16
B.claussi	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	NA	2.2e-16
B.halodurans	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	2.2e-16	NA
