	B.anthracis.Ames	B.cereus.ATCC14579	B.cereus.E33L	B.cereus.ATCC10987	B.thuringiensis	B.weihenstephanensis	B.subtilis168	B.amyloliquefaciens	B.licheniformis	B.pumilus	B.claussi	B.halodurans	
B.anthracis.Ames	NA	0.1739	0.1584	0.002338	0.01527	0.009289	0.01033	0.6532	0.09599	0.0142	0.1071	0.06199
B.cereus.ATCC14579	0.1739	NA	0.2809	0.0009748	0.1290	0.04365	0.1304	0.3592	0.1662	0.1607	0.1836	0.1055
B.cereus.E33L	0.1584	0.2809	NA	0.01341	0.3220	0.04418	0.05829	0.5509	0.1825	0.07494	0.2523	0.2363
B.cereus.ATCC10987	0.002338	0.0009748	0.01341	NA	0.009758	0.03156	0.05233	0.575	0.1412	0.09448	0.1696	0.1573
B.thuringiensis	0.01527	0.1290	0.3220	0.009758	NA	0.02249	0.04702	0.3421	0.1120	0.04635	0.1186	0.5117
B.weihenstephanensis	0.009289	0.04365	0.04418	0.03156	0.02249	NA	0.02614	0.263	0.02622	0.01503	0.1709	0.2049
B.subtilis168	0.01033	0.1304	0.05829	0.05233	0.04702	0.02614	NA	0.2775	0.01388	0.2847	0.002014	0.07658
B.amyloliquefaciens	0.6532	0.3592	0.5509	0.575	0.3421	0.263	0.2775	NA	0.001237	0.1133	0.002727	0.01555
B.licheniformis	0.09599	0.1662	0.1825	0.1412	0.1120	0.02622	0.01388	0.001237	NA	0.001033	0.009942	0.01599
B.pumilus	0.0142	0.1607	0.07494	0.09448	0.04635	0.01503	0.2847	0.1133	0.001033	NA	0.09497	0.03972
B.claussi	0.1071	0.1836	0.2523	0.1696	0.1186	0.1709	0.002014	0.002727	0.009942	0.09497	NA	0.005319
B.halodurans	0.06199	0.1055	0.2363	0.1573	0.5117	0.2049	0.07658	0.01555	0.01599	0.03972	0.005319	NA
