BG10065	CDS	+	410	1750
BG10066	CDS	+	1939	3075
BG10067	CDS	+	3206	3421
BG10068	CDS	+	3437	4549
BG10069	CDS	+	4567	4725
BG10070	CDS	+	4866	6782
BG10071	CDS	+	6993	9458
BG00005	rRNA	+	9809	11361
BG00008	rRNA	+	11707	14634
BG00009	rRNA	+	14690	14801
BG10072	CDS	-	14845	15792
BG10073	CDS	+	15913	17379
BG10074	CDS	+	17532	18863
BG10075	CDS	+	19060	19944
BG10076	CDS	+	19966	20556
BG10077	CDS	+	20878	22155
BG10078	CDS	-	22494	23147
BG10079	CDS	-	23144	23767
BG10080	CDS	-	23866	25149
BG10081	CDS	-	25219	25764
BG10082	CDS	+	25850	26335
BG10083	CDS	+	26812	28503
BG10084	CDS	+	28527	28850
BG10085	CDS	+	28865	29461
BG10086	CDS	+	29479	29703
BG10087	CDS	+	29770	30033
BG00011	rRNA	+	30277	31829
BG00014	rRNA	+	32175	35102
BG00103	rRNA	+	35235	35346
BG10088	CDS	+	35529	35723
BG10089	CDS	+	35843	36457
BG10090	CDS	+	36476	37636
BG10091	CDS	+	37718	39160
BG10092	CDS	+	39157	39795
BG10093	CDS	+	39869	40198
BG10094	CDS	+	40211	40651
BG10095	CDS	+	40663	41652
BG10096	CDS	+	41655	42482
BG10097	CDS	+	42497	42856
BG10098	CDS	+	42915	43658
BG12700	CDS	+	43645	43944
BG10099	CDS	+	43919	44797
BG10100	CDS	-	44846	45136
BG10101	CDS	+	45631	47625
BG10102	CDS	+	47704	48471
BG10103	CDS	+	48627	49940
BG10104	CDS	+	50085	50645
BG10105	CDS	+	50638	51516
BG10106	CDS	+	51678	52550
BG10107	CDS	+	52761	53021
BG10108	CDS	+	53181	53366
BG10109	CDS	+	53514	54383
BG10110	CDS	+	54439	55296
BG10111	CDS	+	55293	55670
BG10112	CDS	+	55864	56157
BG10113	CDS	+	56350	57720
BG10114	CDS	+	57743	58696
BG10115	CDS	+	58781	59395
BG10116	CDS	+	59502	60068
BG10117	CDS	+	60128	60358
BG10118	CDS	+	60428	63961
BG10119	CDS	+	64097	64633
BG10120	CDS	+	64815	66413
BG10121	CDS	+	66403	67872
BG10122	CDS	+	67875	68135
BG10123	CDS	+	68214	68516
BG10124	CDS	+	68513	69148
BG10125	CDS	+	69166	69543
BG10126	CDS	+	69624	70010
BG10127	CDS	+	70536	73019
BG10128	CDS	+	73104	73841
BG10129	CDS	+	73807	74823
BG10130	CDS	+	74927	76345
BG10131	CDS	+	76342	76884
BG10132	CDS	+	76982	78895
BG10133	CDS	+	79090	79791
BG10134	CDS	+	79877	80752
BG10135	CDS	+	80799	81692
BG10136	CDS	+	81768	82694
BG10137	CDS	+	82861	84273
BG10138	CDS	+	84287	84871
BG10139	CDS	+	84871	85752
BG10140	CDS	+	85734	86591
BG10141	CDS	+	86584	86946
BG10142	CDS	+	86943	87446
BG12701	CDS	+	87398	87607
BG10143	CDS	+	87631	88632
BG10144	CDS	+	88724	90223
BG00017	rRNA	+	90533	92085
BG00018	rRNA	+	92251	95178
BG00019	rRNA	+	95234	95349
BG00029	rRNA	+	96389	97941
BG00030	rRNA	+	98107	101034
BG00031	rRNA	+	101090	101205
BG10145	CDS	+	101446	101910
BG10146	CDS	+	101924	102481
BG10147	CDS	+	102481	103572
BG10148	CDS	+	103569	106001
BG10149	CDS	+	106093	107469
BG10150	CDS	+	107473	108555
BG10151	CDS	+	108671	109771
BG10152	CDS	+	109786	110484
BG10153	CDS	+	110477	110953
BG10154	CDS	+	111044	112495
BG10155	CDS	+	112797	113450
BG10156	CDS	+	113447	114847
BG12702	CDS	+	114851	115282
BG10157	CDS	+	115266	116015
