BG10396 ComFB 
BG10397 ComFC 
BG10483 ComGA 
BG10484 ComGB 
BG10485 ComGC 
BG10486 ComGD 
BG10487 ComGE 
BG10488 ComGF 
BG10489 ComGG 
BG11059 ComK 
BG10380 ComP 
BG10379 ComQ 
BG11045 ComS 
BG11324 ComX 
BG13221 ComZ 
BG10490 CotA 
BG10491 CotB 
BG10492 CotC 
BG10493 CotD 
BG10494 CotE 
BG10012 CotF 
BG11017 CotG 
BG11791 CotH 
BG11799 CotJA 
BG11800 CotJB 
BG11801 CotJC 
BG11822 CotM 
BG12167 CotP 
BG11380 CotS 
BG11381 CotSA 
BG10495 CotT 
BG10496 CotV 
BG10497 CotW 
BG10500 CotX 
BG10498 CotY 
BG10499 CotZ 
BG13782 CoxA 
BG12403 Crh 
BG10809 CsaA 
BG10501 CsbA 
BG11834 CsbB 
BG11360 CsbC 
BG12478 CsbD 
BG11922 CsbX 
BG14009 Csd 
BG10088 CsfB 
BG11504 CsgA 
BG11923 Csn 
BG10824 CspB 
BG11024 CspC 
BG11531 CspD 
BG11802 CspR 
BG10654 CsrA 
BG14131 CssR 
BG14132 CssS 
BG11924 CstA 
BG10213 CtaA 
BG10214 CtaB 
BG10215 CtaC 
BG10216 CtaD 
BG10217 CtaE 
BG10218 CtaF 
BG12579 CtaG 
BG13183 CtaO 
BG10115 Ctc 
BG11794 CtpA 
BG10145 CtsR 
BG10505 CwlA 
BG10825 CwlC 
BG11514 CwlD 
BG11633 CwlH 
BG11172 CwlJ 
BG11925 CydA 
BG11926 CydB 
BG11927 CydC 
BG11928 CydD 
BG11929 CypA 
BG12729 CypC 
BG12580 CypX 
BG13379 CysC 
BG10155 CysE 
BG11930 CysH 
BG10136 CysK 
BG13377 CysP 
BG10156 CysS 
BG11931 CzcD 
BG10074 DacA 
BG10527 DacB 
BG10969 DacC 
BG10295 DacF 
BG10785 DapA 
BG11207 DapB 
BG14048 DapF 
BG10784 DapG 
BG13045 Dat 
BG10078 Dck 
BG12072 DctB 
BG12075 DctP 
BG12074 DctR 
BG12073 DctS 
BG11932 Ddl 
BG11143 DeaD 
BG11933 Def 
BG10847 DegA 
BG10378 DegQ 
BG10699 DegR 
BG10392 DegS 
BG10393 DegU 
BG12581 DeoD 
BG10982 DeoR 
BG13518 Des 
BG10795 DfrA 
BG10079 Dgk 
BG11040 DgkA 
BG12582 DhaS 
BG11019 DhbA 
BG11241 DhbB 
BG11242 DhbC 
BG11020 DhbE 
BG11243 DhbF 
BG10539 DinB 
BG11515 DinG 
BG10229 DivIB 
BG10125 DivIC 
BG11835 DivIVA 
BG10551 DltA 
BG10550 DltB 
BG10549 DltC 
BG10548 DltD 
BG10547 DltE 
BG10065 DnaA 
BG10358 DnaB 
BG10004 DnaC 
BG10957 DnaD 
BG12583 DnaE 
BG10313 DnaG 
BG10359 DnaI 
BG10665 DnaJ 
BG10664 DnaK 
BG10066 DnaN 
BG10083 DnaX 
BG10842 DppA 
BG10843 DppB 
BG10844 DppC 
BG10845 DppD 
BG10846 DppE 
BG12584 Dps 
BG10983 Dra 
BG11331 Drm 
BG11747 DsdA 
BG13409 Dxr 
BG11715 Dxs 
BG10770 Eag 
BG12585 EbrA 
BG12586 EbrB 
BG11516 EcsA 
BG11517 EcsB 
BG11518 EcsC 
BG11460 Efp 
BG10899 Eno 
BG10561 Epr 
BG11188 Era 
BG11934 EtfA 
BG11935 EtfB 
BG10046 ExoA 
BG10767 ExpZ 
BG13211 ExuR 
BG13210 ExuT 
BG13934 EzrA 
BG11836 FabD 
BG13128 FabF 
BG11535 FabG 
BG13127 FabHA 
BG13048 FabHB 
BG13152 FabI 
BG12221 FabL 
BG10412 FbaA 
BG11125 FbaB 
BG11478 Fbp 
BG10979 FdhD 
BG11388 Fer 
BG10835 FeuA 
BG10836 FeuB 
BG10837 FeuC 
BG10830 Ffh 
BG11389 FhuB 
BG11390 FhuC 
BG10828 FhuD 
BG11391 FhuG 
BG10237 FlgB 
BG10238 FlgC 
BG10249 FlgE 
BG10401 FlgK 
BG11936 FlgL 
BG10399 FlgM 
BG10542 FlhA 
BG10543 FlhB 
BG10544 FlhF 
BG10917 FlhO 
BG10918 FlhP 
BG10921 FliD 
BG10239 FliE 
BG10240 FliF 
BG10241 FliG 
BG10242 FliH 
BG10243 FliI 
BG10245 FliJ 
BG10247 FliK 
BG10250 FliL 
BG10251 FliM 
BG10260 FliP 
BG10261 FliQ 
BG10262 FliR 
BG10922 FliS 
BG10923 FliT 
BG10252 FliY 
BG10259 FliZ 
BG11937 Fmt 
BG11343 Fnr 
BG10141 FolB 
BG10322 FolC 
BG11711 FolD 
BG10142 FolK 
BG12587 Frr 
BG11938 FruA 
BG12588 FruK 
BG12589 FruR 
BG10231 FtsA 
BG12590 FtsE 
BG10132 FtsH 
BG10220 FtsL 
BG13352 FtsW 
BG12591 FtsX 
