source	BG	Bsu	Bmo	Bam	Bli	Bpu	Ban	Bce	Bth	Bwe	Bcl	Bha	Profile11
ids.tab	BG10095	BG10095 	Bmo2628 	RBAM_000400 	NT03BL0030 NT03BL0047 	BPUM_0015 	BA_0028 	BC_0037 	NT02BT0039 	BcerKBAB4_0026 	NT03BC0064 	BH0044 	Y
ids.tab	BG10101	BG10101 	Bmo2621 	RBAM_000470 	NT03BL0054 	BPUM_0022 	BA_0036 	BC_0043 	NT02BT0046 	BcerKBAB4_0033 	NT03BC0073 	BH0053 	Y
ids.tab	BG10109	BG10109 	Bmo2614 	RBAM_000550 	NT03BL0062 	BPUM_0030 BPUM_2886 	BA_0043 	BC_0050 	NT02BT0053 	BcerKBAB4_0040 	NT03BC0088 	BH0061 	Y
ids.tab	BG10113	BG10113 BG11199 	Bmo2610 	RBAM_000590 	NT03BL0065 NT03BL1359 	BPUM_0034 	BA_0048 BA_5122 	BC_0054 	NT02BT0057 NT02BT4864 NT02BT5247 	BcerKBAB4_0044 	NT03BC0094 	BH0065 BH3717 	Y
ids.tab	BG10114	BG10114 	NA	RBAM_000600 	NT03BL0066 	BPUM_0035 	BA_0049 	BC_0055 	NT02BT0058 	BcerKBAB4_0045 	NT03BC0095 NT03BC1190 	BH0066 	
ids.tab	BG10116	BG10116 	Bmo2608 	RBAM_000620 	NT03BL0068 	BPUM_0037 	BA_0050 	BC_0056 	NT02BT0059 	BcerKBAB4_0046 	NT03BC0097 	BH0068 	Y
ids.tab	BG10125	BG10125 	Bmo2600 	RBAM_000710 	NT03BL0078 	BPUM_0046 	BA_0059 BA_2853 	BC_0065 	NT02BT0068 NT02BT2804 	BcerKBAB4_0055 BcerKBAB4_2364 BcerKBAB4_2654 	NT03BC0115 	BH0076 	Y
ids.tab	BG10130	BG10130 	Bmo2595 	RBAM_000780 	NT03BL0085 	BPUM_0051 	BA_0062 	BC_0070 	NT02BT0073 	BcerKBAB4_0058 	NT03BC0123 	BH0083 	Y
ids.tab	BG10131	BG10131 	Bmo2594 	RBAM_000790 	NT03BL0086 	BPUM_0052 	BA_0063 	BC_0071 	NT02BT0074 	BcerKBAB4_0059 	NT03BC0124 	BH0084 	Y
ids.tab	BG10144	BG10144 	Bmo2579 	RBAM_000920 	NT03BL0100 	BPUM_0066 	BA_0076 BA_4632 BA_4802 	BC_0084 BC_4397 BC_4559 	NT02BT0087 NT02BT4395 NT02BT4554 	BcerKBAB4_0072 BcerKBAB4_4249 BcerKBAB4_4390 	NT03BC0136 NT03BC1811 	BH0098 	Y
ids.tab	BG10152	BG10152 BG10617 	Bmo696 	RBAM_001150 RBAM_035090 	NT03BL0112 	BPUM_0075 	BA_0084 	BC_0106 	NT02BT0112 	BcerKBAB4_0080 	NT03BC0162 	BH0107 	Y
ids.tab	BG10153	BG10153 	NA	RBAM_001160 	NT03BL0113 	BPUM_0076 	BA_0085 	BC_0107 	NT02BT0113 	BcerKBAB4_0081 	NT03BC0163 	BH0108 	
ids.tab	BG10154	BG10154 	NA	RBAM_001170 	NT03BL0114 	BPUM_0077 	BA_0086 	BC_0108 	NT02BT0114 	BcerKBAB4_0082 	NT03BC0164 NT03BC0319 	BH0109 	
ids.tab	BG10156	BG10156 	NA	RBAM_001190 	NT03BL0116 	BPUM_0079 	BA_0089 BA_4690 	BC_0110 	NT02BT0116 NT02BT4450 	BcerKBAB4_0084 	NT03BC0166 	BH0111 	
ids.tab	BG10160	BG10160 	NA	RBAM_001240 	NA	BPUM_0084 	BA_0094 	NA	NA	BcerKBAB4_0089 	NA	BH0116 	
ids.tab	BG10161	BG10161 	NA	RBAM_001250 	NT03BL0121 	BPUM_0085 	BA_0095 	BC_0115 	NT02BT0121 	BcerKBAB4_0090 	NT03BC0171 	BH0117 	
ids.tab	BG10164	BG10164 	NA	RBAM_001280 	NT03BL0124 	BPUM_0088 	BA_0098 	BC_0118 	NT02BT0124 	BcerKBAB4_0093 	NT03BC0175 	BH0120 	
ids.tab	BG10207	BG10207 	Bmo2354 	RBAM_014420 RBAM_017690 	NT03BL1759 	BPUM_1355 	BA_4184 	BC_3973 	NT02BT3957 	BcerKBAB4_3799 	NT03BC2749 	BH2655 	Y
ids.tab	BG10220	BG10220 	NA	RBAM_015010 	NT03BL1822 	BPUM_1408 	BA_4056 	BC_3917 	NT02BT3900 	BcerKBAB4_3744 	NT03BC2688 	BH2574 	
ids.tab	BG10221	BG10221 	Bmo2406 	RBAM_015020 	NT03BL1823 	BPUM_1409 	BA_4055 	BC_3916 	NT02BT3899 	BcerKBAB4_3743 	NT03BC2687 	BH2573 	Y
ids.tab	BG10223	BG10223 	Bmo2408 	RBAM_015040 	NT03BL1826 	BPUM_1411 	BA_4053 BA_4689 	BC_0258 BC_3914 	NT02BT2557 NT02BT3897 NT02BT4449 	BcerKBAB4_3741 BcerKBAB4_4302 	NT03BC2685 	BH2571 	Y
ids.tab	BG10224	BG10224 BG12641 	Bmo2409 Bmo2482 	RBAM_015050 	NT03BL1827 	BPUM_1412 	BA_4052 	BC_3913 	NT02BT3896 	BcerKBAB4_3740 	NT03BC2683 	BH2568 	Y
ids.tab	BG10225	BG10225 	Bmo2410 	RBAM_015060 	NT03BL1828 	BPUM_1413 	BA_4051 BA_4938 	BC_3912 	NT02BT2170 NT02BT3895 NT02BT4684 	BcerKBAB4_3739 	NT03BC2682 	BH2567 	Y
ids.tab	BG10227	BG10227 BG13259 	Bmo2228 	RBAM_015080 	NT03BL1830 	BPUM_1415 	BA_4049 	BC_3910 	NT02BT3893 	BcerKBAB4_3737 	NT03BC0103 	BH1957 BH2565 	Y
ids.tab	BG10228	BG10228 	Bmo2413 	RBAM_015090 	NT03BL1831 	BPUM_1416 	BA_4048 	BC_3909 	NT02BT3892 	BcerKBAB4_3736 	NT03BC4487 	BH2564 	Y
ids.tab	BG10229	BG10229 	Bmo2414 	RBAM_015100 	NT03BL1832 	BPUM_1417 	BA_4047 	BC_3908 	NT02BT3891 	BcerKBAB4_3735 	NT03BC2679 	BH2563 	Y
ids.tab	BG10231	BG10231 	Bmo2418 	RBAM_015110 	NT03BL1836 NT03BL4114 	BPUM_1421 	BA_4046 	BC_3907 	NT02BT3890 NT02BT5261 	BcerKBAB4_3734 BcerKBAB4_5077 	NT03BC2678 	BH2559 BH3031 	Y
ids.tab	BG10232	BG10232 	Bmo2419 	RBAM_015120 	NT03BL1837 NT03BL2022 NT03BL2207 	BPUM_0057 BPUM_1422 	BA_0675 BA_4045 	BC_0668 BC_1014 BC_1725 BC_3906 	NT02BT0696 NT02BT3889 	BcerKBAB4_0589 BcerKBAB4_3733 	NT03BC0856 NT03BC2677 	BH2558 BH3271 	Y
ids.tab	BG10263	BG10263 	Bmo3341 	RBAM_016420 	NT03BL1971 	BPUM_1557 	BA_3955 	BC_3816 	NT02BT3800 	BcerKBAB4_3640 	NT03BC2553 	BH2418 	Y
ids.tab	BG10265	BG10265 	Bmo3339 	RBAM_016440 	NT03BL0079 NT03BL1978 	BPUM_1563 	BA_3953 	BC_3814 	NT02BT1532 NT02BT3798 	BcerKBAB4_1421 BcerKBAB4_3638 	NT03BC2551 	BH2416 BH3347 	Y
ids.tab	BG10268	BG10268 	Bmo2681 Bmo3337 	RBAM_016470 	NT03BL1981 	BPUM_1566 BPUM_3733 	BA_3950 	BC_3811 	NT02BT3795 	BcerKBAB4_3635 	NT03BC2548 	BH2413 	Y
ids.tab	BG10273	BG10273 	Bmo2994 	RBAM_019120 	NT03BL2382 	BPUM_1861 	BA_1269 	BC_1251 	NT02BT1301 	BcerKBAB4_1165 	NT03BC2420 	BH2205 	Y
ids.tab	BG10276	BG10276 BG13625 	Bmo2840 	RBAM_020950 	NT03BL2563 	BPUM_2010 	BA_1531 BA_2377 BA_3858 	BC_1510 BC_2313 BC_3728 	NT02BT1544 NT02BT2327 NT02BT3716 	BcerKBAB4_1434 BcerKBAB4_2184 BcerKBAB4_3494 	NT03BC1875 NT03BC3308 	BH1309 BH3356 	Y
ids.tab	BG10279	BG10279 	Bmo2843 	RBAM_020920 	NT03BL2560 	BPUM_2007 	BA_1533 	BC_1512 	NT02BT1546 	BcerKBAB4_1436 	NT03BC2162 	BH1648 	Y
